band,correction,dswe,sat_corr,sat_to,method,intercept,slope,B1,B2,min_in_val,max_in_val
med_Blue,Roy,DSWE1,LS5,LS7,lm,0.0080013460550605,0.8048807101789814,NA,NA,-0.009507500000000002,0.1991075
med_Blue,Roy,DSWE1,LS5,LS7,deming,0.00139958469918083,0.9899375972820449,NA,NA,-0.009507500000000002,0.1991075
med_Green,Roy,DSWE1,LS5,LS7,lm,0.00880678712136085,0.9034037227945441,NA,NA,-0.004750000000000004,0.199575
med_Green,Roy,DSWE1,LS5,LS7,deming,0.003122766494729128,1.0275243613559228,NA,NA,-0.004750000000000004,0.199575
med_Red,Roy,DSWE1,LS5,LS7,lm,0.008555584748009189,0.8802576268932352,NA,NA,-0.009287500000000004,0.19996000000000003
med_Red,Roy,DSWE1,LS5,LS7,deming,0.004587371304029332,0.9811104784921058,NA,NA,-0.009287500000000004,0.19996000000000003
med_Nir,Roy,DSWE1,LS5,LS7,lm,0.009369770977152064,0.7872322450495394,NA,NA,-0.009975000000000012,0.1999875
med_Nir,Roy,DSWE1,LS5,LS7,deming,0.0016977193609546803,1.0021040045503196,NA,NA,-0.009975000000000012,0.1999875
med_SurfaceTemp,Roy,DSWE1,LS5,LS7,lm,7.8919994087463206,0.9746813475994692,NA,NA,273.15103145,313.14699248
med_SurfaceTemp,Roy,DSWE1,LS5,LS7,deming,-6.890208194825537,1.0258152976216213,NA,NA,273.15103145,313.14699248
med_Blue,Roy,DSWE1,LS8,LS7,lm,-0.004059881056456682,0.6410309570674907,NA,NA,-0.008256250000000007,0.19829625
med_Blue,Roy,DSWE1,LS8,LS7,deming,-0.011676421774308292,0.8232744150068385,NA,NA,-0.008256250000000007,0.19829625
med_Green,Roy,DSWE1,LS8,LS7,lm,-5.59249855741009e-4,0.8195392938236838,NA,NA,-0.006345000000000017,0.1999875
med_Green,Roy,DSWE1,LS8,LS7,deming,-0.01005918310647053,1.0050762525853072,NA,NA,-0.006345000000000017,0.1999875
med_Red,Roy,DSWE1,LS8,LS7,lm,-0.0024805551113975385,0.8223993947775663,NA,NA,-0.007541250000000013,0.19974000000000003
med_Red,Roy,DSWE1,LS8,LS7,deming,-0.009365746069016172,0.9762448643945031,NA,NA,-0.007541250000000013,0.19974000000000003
med_Nir,Roy,DSWE1,LS8,LS7,lm,5.015856518538226e-5,0.6109659503219564,NA,NA,-0.0097825,0.19996000000000003
med_Nir,Roy,DSWE1,LS8,LS7,deming,-0.012474735696940922,0.9202970263385423,NA,NA,-0.0097825,0.19996000000000003
med_SurfaceTemp,Roy,DSWE1,LS8,LS7,lm,3.049876719277161,0.9945695305182077,NA,NA,273.15103145,313.11281227999996
med_SurfaceTemp,Roy,DSWE1,LS8,LS7,deming,-13.465777471582694,1.0517793259617572,NA,NA,273.15103145,313.11281227999996
med_Blue,Roy,DSWE1,LS7,LS8,lm,0.022129419100764727,0.8670458893187523,NA,NA,-0.009480000000000016,0.18817625
med_Blue,Roy,DSWE1,LS7,LS8,deming,0.013458871885614485,1.2593185083313554,NA,NA,-0.009480000000000016,0.18817625
med_Green,Roy,DSWE1,LS7,LS8,lm,0.016885174070956657,0.8347388920843197,NA,NA,-5.425000000000013e-4,0.19952000000000003
med_Green,Roy,DSWE1,LS7,LS8,deming,0.009312928289493662,1.019172021493176,NA,NA,-5.425000000000013e-4,0.19952000000000003
med_Red,Roy,DSWE1,LS7,LS8,lm,0.01571346583759013,0.855880986882945,NA,NA,-0.009810000000000011,0.19953375
med_Red,Roy,DSWE1,LS7,LS8,deming,0.009724978683561635,1.0273445341168834,NA,NA,-0.009810000000000011,0.19953375
med_Nir,Roy,DSWE1,LS7,LS8,lm,0.023855708447379997,0.6778508125732307,NA,NA,-0.009851250000000006,0.19909375
med_Nir,Roy,DSWE1,LS7,LS8,deming,0.013688652011469208,1.087103016835122,NA,NA,-0.009851250000000006,0.19909375
med_SurfaceTemp,Roy,DSWE1,LS7,LS8,lm,27.709248910708855,0.8992996400503082,NA,NA,273.15103145,313.14870149
med_SurfaceTemp,Roy,DSWE1,LS7,LS8,deming,14.583537555182614,0.9445189442110273,NA,NA,273.15103145,313.14870149
med_Blue,Roy,DSWE1,LS9,LS8,lm,0.006007348946170077,0.763627250293845,NA,NA,-0.009397500000000005,0.1972375
med_Blue,Roy,DSWE1,LS9,LS8,deming,-2.631496521970159e-4,1.019797146256503,NA,NA,-0.009397500000000005,0.1972375
med_Green,Roy,DSWE1,LS9,LS8,lm,0.00884890735416026,0.8120872470536584,NA,NA,8.874999999999855e-4,0.199685
med_Green,Roy,DSWE1,LS9,LS8,deming,-8.852178592869919e-4,1.0170517491596591,NA,NA,8.874999999999855e-4,0.199685
med_Red,Roy,DSWE1,LS9,LS8,lm,0.006023617669861374,0.8330690169183709,NA,NA,-0.0098375,0.19963
med_Red,Roy,DSWE1,LS9,LS8,deming,7.954140127940154e-5,0.9894927727586266,NA,NA,-0.0098375,0.19963
med_Nir,Roy,DSWE1,LS9,LS8,lm,0.011267755585882382,0.6571136279900461,NA,NA,-0.0098375,0.1993275
med_Nir,Roy,DSWE1,LS9,LS8,deming,-5.824003368046862e-4,1.018738981554673,NA,NA,-0.0098375,0.1993275
med_SurfaceTemp,Roy,DSWE1,LS9,LS8,lm,10.972280729048707,0.9622464434926472,NA,NA,273.15274046,313.14870149
med_SurfaceTemp,Roy,DSWE1,LS9,LS8,deming,-1.3549053746964002,1.004565578635051,NA,NA,273.15274046,313.14870149
med_Blue,Roy,DSWE1a,LS5,LS7,lm,0.008015848644076697,0.8044201136655491,NA,NA,-0.009507500000000002,0.1991075
med_Blue,Roy,DSWE1a,LS5,LS7,deming,8.12930327927928e-4,1.0093801633734516,NA,NA,-0.009507500000000002,0.1991075
med_Green,Roy,DSWE1a,LS5,LS7,lm,0.00882733241733763,0.902965362011907,NA,NA,-0.004750000000000004,0.199575
med_Green,Roy,DSWE1a,LS5,LS7,deming,0.003616859420938093,1.0147098569078465,NA,NA,-0.004750000000000004,0.199575
med_Red,Roy,DSWE1a,LS5,LS7,lm,0.008561625063168663,0.8800343211239413,NA,NA,-0.009287500000000004,0.19996000000000003
med_Red,Roy,DSWE1a,LS5,LS7,deming,0.004464173808808415,0.9834911394127817,NA,NA,-0.009287500000000004,0.19996000000000003
med_Nir,Roy,DSWE1a,LS5,LS7,lm,0.009439680652443659,0.7855193543848903,NA,NA,-0.009975000000000012,0.1999875
