band,correction,dswe,sat_corr,sat_to,method,intercept,slope,B1,B2,min_in_val,max_in_val
med_Blue,Roy,DSWE1,LS5,LS7,lm,0.007824145129338048,0.7681943031004649,NA,NA,-0.01,0.195
med_Blue,Roy,DSWE1,LS5,LS7,deming,0.001170104531980577,0.9937422935496057,NA,NA,-0.01,0.195
med_Green,Roy,DSWE1,LS5,LS7,lm,0.008453850096644148,0.8900827314039756,NA,NA,-0.005,0.199
med_Green,Roy,DSWE1,LS5,LS7,deming,0.003742842347183721,1.0246655173758576,NA,NA,-0.005,0.199
med_Red,Roy,DSWE1,LS5,LS7,lm,0.008127660763049337,0.862606386556879,NA,NA,-0.009,0.2
med_Red,Roy,DSWE1,LS5,LS7,deming,0.0045247291827068955,0.9836176513288191,NA,NA,-0.009,0.2
med_Nir,Roy,DSWE1,LS5,LS7,lm,0.009824690062766622,0.7443378328002959,NA,NA,-0.008,0.2
med_Nir,Roy,DSWE1,LS5,LS7,deming,0.001986458132742924,1.0160110483912075,NA,NA,-0.008,0.2
med_SurfaceTemp,Roy,DSWE1,LS5,LS7,lm,19.230890380906303,0.9348912781762715,NA,NA,273.15,313.15
med_SurfaceTemp,Roy,DSWE1,LS5,LS7,deming,-7.320314258605767,1.0272952997522193,NA,NA,273.15,313.15
med_Blue,Roy,DSWE1,LS8,LS7,lm,-0.0022085713915237534,0.5427370445096706,NA,NA,-0.008,0.195
med_Blue,Roy,DSWE1,LS8,LS7,deming,-0.009917587192416403,0.7678803282486681,NA,NA,-0.008,0.195
med_Green,Roy,DSWE1,LS8,LS7,lm,-6.312354492683184e-4,0.785627598652011,NA,NA,-0.006,0.2
med_Green,Roy,DSWE1,LS8,LS7,deming,-0.009209306784628371,0.990823525106115,NA,NA,-0.006,0.2
med_Red,Roy,DSWE1,LS8,LS7,lm,-0.0020316129253458676,0.7817657918075501,NA,NA,-0.008,0.2
med_Red,Roy,DSWE1,LS8,LS7,deming,-0.00867260410742081,0.9674619841169545,NA,NA,-0.008,0.2
med_Nir,Roy,DSWE1,LS8,LS7,lm,9.911916319792313e-4,0.5556230514584914,NA,NA,-0.01,0.2
med_Nir,Roy,DSWE1,LS8,LS7,deming,-0.013287866641741029,0.9850382629715813,NA,NA,-0.01,0.2
med_SurfaceTemp,Roy,DSWE1,LS8,LS7,lm,5.394803533020401,0.9860806507154181,NA,NA,273.15,313.03
med_SurfaceTemp,Roy,DSWE1,LS8,LS7,deming,-18.089286251301242,1.067702309505872,NA,NA,273.15,313.03
med_Blue,Roy,DSWE1,LS7,LS8,lm,0.02128827908322219,0.7976389596546738,NA,NA,-0.009,0.182
med_Blue,Roy,DSWE1,LS7,LS8,deming,0.01291555410039476,1.3022852547554684,NA,NA,-0.009,0.182
med_Green,Roy,DSWE1,LS7,LS8,lm,0.015805751376396584,0.8074517036610092,NA,NA,-0,0.199
med_Green,Roy,DSWE1,LS7,LS8,deming,0.009294303118910871,1.0092706250629049,NA,NA,-0,0.199
